Date,Start Time,End Time,The GFT Shoppe Atari 50th Anniversary Commemorative Collection,PUNKS Comic,Farm Land by Pixels,Cool Monkes Genesis,MetaHero Universe Planet Tokens,Alpha Kongs Club AKC
March 4th,2022-03-04 0:00:00,2022-03-04 0:59:59,0.0,0.0,0.0,6100.0,0.0,0.0
March 4th,2022-03-04 1:00:00,2022-03-04 1:59:59,0.0,0.0,0.0,0.0,0.0,0.0
March 4th,2022-03-04 2:00:00,2022-03-04 2:59:59,0.0,65.0,0.0,90.0,0.0,0.0
March 4th,2022-03-04 3:00:00,2022-03-04 3:59:59,6.0,10.0,0.0,10.0,3.0,0.0
March 4th,2022-03-04 4:00:00,2022-03-04 4:59:59,0.0,36.0,0.0,50.0,0.0,0.0
March 4th,2022-03-04 5:00:00,2022-03-04 5:59:59,0.0,63.0,0.0,6100.0,2.0,0.0
March 4th,2022-03-04 6:00:00,2022-03-04 6:59:59,9.0,24.0,0.0,0.0,2.0,4.0
March 4th,2022-03-04 7:00:00,2022-03-04 7:59:59,0.0,17.0,0.0,6100.0,0.0,0.0
March 4th,2022-03-04 8:00:00,2022-03-04 8:59:59,0.0,0.0,0.0,30.0,0.0,144.0
March 4th,2022-03-04 9:00:00,2022-03-04 9:59:59,171.0,30.0,0.0,6100.0,0.0,0.0
March 4th,2022-03-04 10:00:00,2022-03-04 10:59:59,50.0,66.0,0.0,6100.0,0.0,2.0
March 4th,2022-03-04 11:00:00,2022-03-04 11:59:59,6.0,0.0,0.0,6100.0,0.0,1.0
March 4th,2022-03-04 12:00:00,2022-03-04 12:59:59,0.0,21.0,0.0,0.0,2.0,0.0
March 4th,2022-03-04 13:00:00,2022-03-04 13:59:59,0.0,4.0,0.0,6100.0,0.0,
March 4th,2022-03-04 14:00:00,2022-03-04 14:59:59,0.0,10.0,0.0,6100.0,0.0,2848.0
March 4th,2022-03-04 15:00:00,2022-03-04 15:59:59,15.0,220.0,0.0,140.0,0.0,9.0
March 4th,2022-03-04 16:00:00,2022-03-04 16:59:59,3.0,220.0,0.0,20.0,0.0,294.0
March 4th,2022-03-04 17:00:00,2022-03-04 17:59:59,0.0,10.0,0.0,1490.0,0.0,0.0
March 4th,2022-03-04 18:00:00,2022-03-04 18:59:59,3.0,20.0,0.0,670.0,0.0,1780.0
March 4th,2022-03-04 19:00:00,2022-03-04 19:59:59,0.0,0.0,0.0,200.0,0.0,10.0
March 4th,2022-03-04 20:00:00,2022-03-04 20:59:59,2.0,66.0,0.0,200.0,0.0,1780.0
March 4th,2022-03-04 21:00:00,2022-03-04 21:59:59,1.0,0.0,2.0,370.0,0.0,534.0
March 4th,2022-03-04 22:00:00,2022-03-04 22:59:59,0.0,10.0,9.0,130.0,0.0,1780.0
March 4th,2022-03-04 23:00:00,2022-03-04 23:59:59,0.0,88.0,3.0,0.0,0.0,1246.0
March 5th,2022-03-05 0:00:00,2022-03-05 0:59:59,0.0,0.0,3.0,0.0,0.0,1780.0
March 5th,2022-03-05 1:00:00,2022-03-05 1:59:59,1.0,1020.0,0.0,370.0,0.0,
