Date,Start Time,End Time,The GFT Shoppe Atari 50th Anniversary Commemorative Collection,PUNKS Comic,Farm Land by Pixels,Cool Monkes Genesis,MetaHero Universe Planet Tokens,Alpha Kongs Club AKC
March 4th,2022-03-04 0:00:00,2022-03-04 0:59:59,0.0,4.0,0.0,61.0,0.0,16.0
March 4th,2022-03-04 1:00:00,2022-03-04 1:59:59,0.0,0.0,0.0,38.0,1.0,36.0
March 4th,2022-03-04 2:00:00,2022-03-04 2:59:59,0.0,5.0,0.0,50.0,1.0,3.0
March 4th,2022-03-04 3:00:00,2022-03-04 3:59:59,3.0,16.0,0.0,29.0,1.0,1.0
March 4th,2022-03-04 4:00:00,2022-03-04 4:59:59,1.0,9.0,0.0,72.0,2.0,0.0
March 4th,2022-03-04 5:00:00,2022-03-04 5:59:59,0.0,3.0,0.0,30.0,1.0,1.0
March 4th,2022-03-04 6:00:00,2022-03-04 6:59:59,3.0,6.0,0.0,24.0,1.0,4.0
March 4th,2022-03-04 7:00:00,2022-03-04 7:59:59,3.0,1.0,0.0,169.0,0.0,8.0
March 4th,2022-03-04 8:00:00,2022-03-04 8:59:59,0.0,0.0,0.0,72.0,0.0,9.0
March 4th,2022-03-04 9:00:00,2022-03-04 9:59:59,1.0,15.0,0.0,35.0,0.0,3.0
March 4th,2022-03-04 10:00:00,2022-03-04 10:59:59,5.0,3.0,0.0,28.0,0.0,1.0
March 4th,2022-03-04 11:00:00,2022-03-04 11:59:59,6.0,3.0,0.0,14.0,0.0,1.0
March 4th,2022-03-04 12:00:00,2022-03-04 12:59:59,0.0,7.0,0.0,27.0,2.0,10.0
March 4th,2022-03-04 13:00:00,2022-03-04 13:59:59,0.0,2.0,0.0,19.0,0.0,11.0
March 4th,2022-03-04 14:00:00,2022-03-04 14:59:59,0.0,10.0,0.0,24.0,0.0,4.0
March 4th,2022-03-04 15:00:00,2022-03-04 15:59:59,5.0,10.0,1.0,26.0,0.0,3.0
March 4th,2022-03-04 16:00:00,2022-03-04 16:59:59,1.0,12.0,0.0,181.0,0.0,3.0
March 4th,2022-03-04 17:00:00,2022-03-04 17:59:59,0.0,27.0,0.0,90.0,0.0,12.0
March 4th,2022-03-04 18:00:00,2022-03-04 18:59:59,1.0,4.0,0.0,43.0,0.0,84.0
March 4th,2022-03-04 19:00:00,2022-03-04 19:59:59,1.0,8.0,0.0,47.0,0.0,54.0
March 4th,2022-03-04 20:00:00,2022-03-04 20:59:59,1.0,3.0,0.0,22.0,0.0,13.0
March 4th,2022-03-04 21:00:00,2022-03-04 21:59:59,1.0,7.0,2.0,57.0,0.0,3.0
March 4th,2022-03-04 22:00:00,2022-03-04 22:59:59,0.0,16.0,3.0,161.0,1.0,12.0
March 4th,2022-03-04 23:00:00,2022-03-04 23:59:59,2.0,4.0,1.0,37.0,0.0,7.0
March 5th,2022-03-05 0:00:00,2022-03-05 0:59:59,0.0,3.0,1.0,30.0,0.0,12.0
