Date,Start Time,End Time,Bored Ape Yacht Club,CryptoPunks,Cool Cats,Meebits,Crypto Kitties,Azuki,Noundles,Ghozali Everyday,IreneDAO,The Heart Project
February 2nd,2022-02-02 0:00:00,2022-02-02 0:59:59,,,,,,,,,,
February 2nd,2022-02-02 1:00:00,2022-02-02 1:59:59,,,,,,,,,,
February 2nd,2022-02-02 2:00:00,2022-02-02 2:59:59,,,,,,,,,,
February 2nd,2022-02-02 3:00:00,2022-02-02 3:59:59,,,,,,,,,,
February 2nd,2022-02-02 4:00:00,2022-02-02 4:59:59,,,,,,,,,,
February 2nd,2022-02-02 5:00:00,2022-02-02 5:59:59,,,,,,,,,,
February 2nd,2022-02-02 6:00:00,2022-02-02 6:59:59,,,,,,,,,,
February 2nd,2022-02-02 7:00:00,2022-02-02 7:59:59,,,,,,,,,,
February 2nd,2022-02-02 8:00:00,2022-02-02 8:59:59,,,,,,,,,,
February 2nd,2022-02-02 9:00:00,2022-02-02 9:59:59,,,,,,,,,,
February 2nd,2022-02-02 10:00:00,2022-02-02 10:59:59,,,,,,,,,,
February 2nd,2022-02-02 11:00:00,2022-02-02 11:59:59,,,,,,,,,,
February 2nd,2022-02-02 12:00:00,2022-02-02 12:59:59,,,,,,,,,,
February 2nd,2022-02-02 13:00:00,2022-02-02 13:59:59,,,,,,,,,,
February 2nd,2022-02-02 14:00:00,2022-02-02 14:59:59,,,,,,,,,,
February 2nd,2022-02-02 15:00:00,2022-02-02 15:59:59,,,,,,,,,,
February 2nd,2022-02-02 16:00:00,2022-02-02 16:59:59,,,,,,,,,,
February 2nd,2022-02-02 17:00:00,2022-02-02 17:59:59,,,,,,,,,,
February 2nd,2022-02-02 18:00:00,2022-02-02 18:59:59,,,,,,,,,,
February 2nd,2022-02-02 19:00:00,2022-02-02 19:59:59,,,,,,,,,,
February 2nd,2022-02-02 20:00:00,2022-02-02 20:59:59,,,,,,,,,,
February 2nd,2022-02-02 21:00:00,2022-02-02 21:59:59,,,,,,,,,,
February 2nd,2022-02-02 22:00:00,2022-02-02 22:59:59,,,,,,,,,,
February 2nd,2022-02-02 23:00:00,2022-02-02 23:59:59,,,,,,,,,,
February 3rd,2022-02-03 0:00:00,2022-02-03 0:59:59,,,,,,,,,,
February 3rd,2022-02-03 1:00:00,2022-02-03 1:59:59,,,,,,,,,,
February 3rd,2022-02-03 2:00:00,2022-02-03 2:59:59,,,,,,,,,,
February 3rd,2022-02-03 3:00:00,2022-02-03 3:59:59,,,,,,,,,,
February 3rd,2022-02-03 4:00:00,2022-02-03 4:59:59,,,,,,,,,,
February 3rd,2022-02-03 5:00:00,2022-02-03 5:59:59,,,,,,,,,,
