Date,Start Time,End Time,The GFT Shoppe: Atari 50th Anniversary Commemorative Collection,PUNKS Comic,Farm Land by Pixels,Cool Monkes Genesis,MetaHero Universe: Planet Tokens,Alpha Kongs Club - AKC,The GFT Shoppe Atari 50th Anniversary Commemorative Collection,MetaHero Universe Planet Tokens,Alpha Kongs Club AKC
February 2nd,2022-02-02 3:00:00,2022-02-02 3:59:59,,18.0,4.0,66.0,,,96.0,0.0,86.0
February 2nd,2022-02-02 4:00:00,2022-02-02 4:59:59,,11.0,1.0,208.0,,,71.0,2.0,56.0
February 2nd,2022-02-02 5:00:00,2022-02-02 5:59:59,,16.0,6.0,139.0,,,101.0,5.0,66.0
February 2nd,2022-02-02 6:00:00,2022-02-02 6:59:59,,32.0,4.0,118.0,,,52.0,7.0,54.0
February 2nd,2022-02-02 7:00:00,2022-02-02 7:59:59,,16.0,4.0,79.0,,,36.0,3.0,39.0
February 2nd,2022-02-02 8:00:00,2022-02-02 8:59:59,,16.0,5.0,61.0,,,48.0,2.0,84.0
February 2nd,2022-02-02 9:00:00,2022-02-02 9:59:59,,22.0,3.0,50.0,,,39.0,0.0,53.0
February 2nd,2022-02-02 10:00:00,2022-02-02 10:59:59,,7.0,2.0,71.0,,,54.0,0.0,56.0
February 2nd,2022-02-02 11:00:00,2022-02-02 11:59:59,,7.0,5.0,47.0,,,27.0,1.0,45.0
February 2nd,2022-02-02 12:00:00,2022-02-02 12:59:59,,18.0,7.0,79.0,,,28.0,0.0,70.0
February 2nd,2022-02-02 13:00:00,2022-02-02 13:59:59,,18.0,4.0,63.0,,,29.0,0.0,60.0
February 2nd,2022-02-02 14:00:00,2022-02-02 14:59:59,,21.0,9.0,60.0,,,31.0,0.0,748.0
February 2nd,2022-02-02 15:00:00,2022-02-02 15:59:59,,39.0,9.0,120.0,,,35.0,0.0,319.0
February 2nd,2022-02-02 16:00:00,2022-02-02 16:59:59,,23.0,2.0,142.0,,,22.0,0.0,247.0
February 2nd,2022-02-02 17:00:00,2022-02-02 17:59:59,,61.0,3.0,74.0,,,34.0,1.0,120.0
February 2nd,2022-02-02 18:00:00,2022-02-02 18:59:59,,32.0,0.0,103.0,,,31.0,3.0,123.0
February 2nd,2022-02-02 19:00:00,2022-02-02 19:59:59,,47.0,1.0,63.0,,,35.0,1.0,124.0
February 2nd,2022-02-02 20:00:00,2022-02-02 20:59:59,,25.0,1.0,48.0,,,46.0,0.0,113.0
February 2nd,2022-02-02 21:00:00,2022-02-02 21:59:59,,20.0,1.0,19.0,,,22.0,0.0,105.0
February 2nd,2022-02-02 22:00:00,2022-02-02 22:59:59,,31.0,1.0,35.0,,,26.0,0.0,75.0
